CustomerID,Age,Gender,City,is_Married,family_size,height,annual_income,job,is_physically_ok,has_taken_car_loan,preferable_fuel_choice,vehicle_choice
CusID_00040,28.0,Male,Vancouver,Married,4.0,160.0,112250.0,Business,Yes,No,Petrol,Sports Coupe
CusID_00041,33.0,Male,Taipei,Married,4.0,169.0,30020.0,Business,Yes,Yes,Petrol,Minivan
CusID_00042,31.0,Female,Berlin,Married,5.0,153.0,10600.0,Service,Yes,Yes,Petrol,Utility Vehicle
CusID_00043,22.0,Female,Vienna,Divorced,4.0,158.0,55520.0,Business,Yes,Yes,Diesel,Utility Vehicle
CusID_00044,15.0,Not_Specified,Chennai,Single,1.0,152.0,4800.0,Student,Yes,Yes,Petrol,Hatchback
CusID_00045,22.0,Male,Kolkata,Married,3.0,150.0,151600.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00046,39.0,Male,Delhi,Married,4.0,160.0,145190.0,Business,Yes,No,Petrol,Sports Coupe
CusID_00047,30.0,Male,Taipei,Married,5.0,143.0,153000.0,Service,Yes,,Hybrid,Luxury Sedan
CusID_00048,34.0,Not_Specified,Los Angeles,Married,3.0,139.0,51630.0,Business,Yes,Yes,Diesel,Crossover
CusID_00049,29.0,Not_Specified,Berlin,Married,4.0,157.0,135790.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00050,55.0,Female,Budapest,Divorced,3.0,147.0,76270.0,Business,Yes,Yes,Diesel,Utility Vehicle
CusID_00051,25.0,Female,Mumbai,Divorced,4.0,159.0,83000.0,Service,Yes,No,Petrol,Utility Vehicle
CusID_00052,31.0,Female,Perth,Married,6.0,153.0,139970.0,Business,Yes,,Diesel,Sports Utility Vehicle
CusID_00053,31.0,Not_Specified,Taipei,Divorced,2.0,154.0,109210.0,Business,Yes,No,Petrol,Sedan
CusID_00054,60.0,Male,Kolkata,Divorced,3.0,155.0,303500.0,Undisclosed,Yes,Yes,Petrol,Luxury Sedan
CusID_00055,23.0,Female,Vienna,Married,2.0,147.0,98800.0,Service,Yes,No,Petrol,Sedan
CusID_00056,18.0,Not_Specified,Chennai,Single,1.0,140.0,6200.0,Service,Yes,Yes,Hybrid,Compact Sedan
CusID_00057,43.0,Female,Paris,Divorced,4.0,139.0,86500.0,Service,Yes,No,Petrol,Utility Vehicle
CusID_00058,20.0,Female,Munich,Single,1.0,130.0,7400.0,Student,No,Yes,EV,Compact Sedan
CusID_00059,27.0,Not_Specified,Florence,Married,4.0,148.0,,Business,Yes,Yes,Diesel,Compact Sedan
CusID_00060,26.0,Male,Florence,Married,3.0,173.0,75340.0,Business,Yes,Yes,Diesel,Pickup-Truck
CusID_00061,53.0,Male,Shinjuku,Married,6.0,154.0,148990.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00062,31.0,Female,Sydney,Single,1.0,144.0,90430.0,Business,Yes,No,Diesel,Coupe
CusID_00063,35.0,Female,Taipei,Married,4.0,147.0,126500.0,Service,Yes,No,Petrol,Sports Utility Vehicle
CusID_00064,56.0,Female,Shinjuku,Divorced,2.0,142.0,146000.0,Service,Yes,No,Petrol,Sports Coupe
CusID_00065,32.0,Male,Budapest,Single,1.0,157.0,49400.0,Business,Yes,Yes,Petrol,Pickup-Truck
CusID_00066,32.0,Not_Specified,Kuala Lampur,Married,3.0,138.0,64630.0,Business,Yes,Yes,Petrol,Utility Vehicle
CusID_00067,24.0,Male,Paris,Divorced,3.0,140.0,59840.0,Business,Yes,Yes,Diesel,Coupe
CusID_00068,34.0,Female,Munich,Single,1.0,150.0,140710.0,Business,Yes,No,Petrol,Convertible
CusID_00069,15.0,Not_Specified,Florence,Single,1.0,,7900.0,Student,Yes,Yes,Petrol,Hatchback
CusID_00070,39.0,Female,Chennai,Divorced,3.0,143.0,117000.0,Service,Yes,No,Hybrid,Station Wagon
CusID_00071,25.0,Female,London,Married,3.0,151.0,94900.0,Service,Yes,No,Diesel,Sedan
CusID_00072,45.0,Male,Budapest,Married,6.0,148.0,109470.0,Business,Yes,No,Diesel,Utility Vehicle
CusID_00073,45.0,Female,Florence,Divorced,2.0,145.0,22600.0,Service,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00074,31.0,Female,Kuala Lampur,Single,1.0,150.0,112360.0,Business,Yes,No,Petrol,Luxury Coupe
CusID_00075,35.0,Female,Vancouver,Married,5.0,156.0,128510.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00076,39.0,Female,Shinjuku,Married,2.0,150.0,41290.0,Business,Yes,Yes,Diesel,Sedan
CusID_00077,29.0,Not_Specified,Barcelona,Single,1.0,139.0,148700.0,Service,Yes,No,Diesel,Convertible
CusID_00078,20.0,Male,London,Single,1.0,152.0,3500.0,Student,Yes,Yes,Hybrid,Hatchback
CusID_00079,16.0,Female,New York City,Single,1.0,162.0,,Service,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00080,27.0,Female,Chennai,Married,5.0,141.0,41110.0,Business,Yes,Yes,Petrol,Sedan
CusID_00081,28.0,Female,Kuala Lampur,Married,4.0,154.0,152400.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00082,25.0,Male,Vancouver,Married,5.0,169.0,89400.0,Service,Yes,No,Hybrid,Crossover
CusID_00083,38.0,Male,Vienna,Married,2.0,167.0,174900.0,Service,Yes,No,Hybrid,Crossover
CusID_00084,39.0,Female,Kuala Lampur,Married,6.0,156.0,81600.0,Service,Yes,No,Diesel,Minivan
CusID_00085,28.0,Female,Chennai,Single,1.0,162.0,75700.0,Service,Yes,No,Petrol,Luxury Sedan
CusID_00086,26.0,Female,Perth,Married,2.0,160.0,,Service,Yes,Yes,Petrol,Crossover
CusID_00087,22.0,Not_Specified,Mumbai,Married,4.0,150.0,159900.0,Service,Yes,No,Diesel,Sports Sedan
CusID_00088,17.0,Male,Perth,Single,1.0,173.0,2100.0,Student,Yes,Yes,EV,Compact Utility Vehicle
CusID_00089,35.0,Male,Vienna,Divorced,3.0,150.0,286600.0,Undisclosed,Yes,No,Hybrid,Luxury Sedan
CusID_00090,25.0,Not_Specified,Los Angeles,Divorced,4.0,149.0,57760.0,Business,,Yes,Petrol,Sedan
CusID_00091,29.0,Female,Kolkata,Married,4.0,151.0,187000.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00092,31.0,Female,Los Angeles,Married,4.0,151.0,71160.0,Business,Yes,Yes,Petrol,Sports Utility Vehicle
CusID_00093,29.0,Female,Sydney,Divorced,2.0,160.0,62100.0,Business,Yes,Yes,Diesel,Coupe
CusID_00094,58.0,Female,Chennai,Divorced,4.0,154.0,136500.0,Service,Yes,No,Hybrid,Station Wagon
CusID_00095,38.0,Male,London,Divorced,4.0,180.0,128000.0,Business,Yes,,Petrol,Sports Utility Vehicle
CusID_00096,54.0,Female,Vancouver,Married,2.0,158.0,161100.0,Service,Yes,No,Diesel,Luxury Sedan
CusID_00097,20.0,Female,Kolkata,Single,1.0,150.0,6200.0,Service,Yes,Yes,Hybrid,Compact Utility Vehicle
CusID_00098,28.0,Male,Florence,Married,5.0,159.0,54790.0,Business,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00099,22.0,Male,Taipei,Married,6.0,141.0,184000.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00100,21.0,Not_Specified,,Single,1.0,160.0,82800.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00101,25.0,Female,Barcelona,Married,6.0,145.0,150000.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00102,39.0,Male,Perth,Married,5.0,172.0,103200.0,Service,Yes,No,Petrol,Sports Sedan
CusID_00103,25.0,Female,Berlin,Married,2.0,144.0,76500.0,Service,Yes,No,Petrol,Utility vehicle
CusID_00104,37.0,Female,Taipei,Married,5.0,159.0,101500.0,Service,Yes,No,Hybrid,Sports Utility Vehicle
CusID_00105,48.0,Male,Delhi,Single,1.0,163.0,152200.0,Service,Yes,No,Diesel,Luxury Coupe
CusID_00106,35.0,Male,Kolkata,Divorced,3.0,167.0,43120.0,,Yes,Yes,Petrol,Sedan
CusID_00107,29.0,Male,New York City,,6.0,161.0,15800.0,Service,Yes,Yes,Hybrid,Crossover
CusID_00108,26.0,Female,Taipei,Married,3.0,146.0,131700.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00109,28.0,Male,London,Divorced,2.0,163.0,102010.0,Business,Yes,No,Diesel,Sportscar
CusID_00110,41.0,Female,Barcelona,Married,5.0,140.0,57660.0,Business,Yes,Yes,Diesel,Sedan
CusID_00111,26.0,Female,Paris,Divorced,2.0,137.0,79800.0,Service,Yes,No,Diesel,Utility Vehicle
CusID_00112,49.0,Male,Berlin,Married,5.0,165.0,86100.0,Service,Yes,No,Hybrid,Crossover
CusID_00113,38.0,Female,San Francisco,Married,4.0,163.0,101000.0,Business,Yes,No,Petrol,Sports Utility Vehicle
CusID_00114,19.0,Not_Specified,New York City,Single,1.0,145.0,2300.0,Service,Yes,Yes,Diesel,Hatchback
CusID_00115,15.0,Male,Barcelona,Single,1.0,155.0,3300.0,Student,Yes,Yes,Petrol,Hatchback
CusID_00116,20.0,Female,Delhi,Single,1.0,163.0,4200.0,Service,Yes,Yes,Diesel,Compact Utility Vehicle
CusID_00117,39.0,Male,Shinjuku,Married,5.0,157.0,183000.0,Service,Yes,No,,Sports Utility Vehicle
CusID_00118,27.0,Female,London,Divorced,3.0,144.0,159680.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00119,28.0,Male,Chennai,Married,2.0,154.0,47030.0,Business,Yes,Yes,Petrol,Minivan
CusID_00120,26.0,Female,Budapest,Married,3.0,139.0,159760.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00121,37.0,Male,Mumbai,Married,6.0,173.0,160740.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00122,58.0,Female,Berlin,Married,2.0,162.0,166500.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00123,21.0,Female,London,Married,4.0,141.0,64090.0,Business,Yes,Yes,Petrol,Sports Utility Vehicle
CusID_00124,53.0,Female,New York City,Divorced,4.0,154.0,126890.0,Business,Yes,No,Petrol,Sports Utility Vehicle
CusID_00125,32.0,Male,Budapest,Married,2.0,161.0,153700.0,Service,Yes,No,Petrol,Sports Sedan
CusID_00126,34.0,Female,Vienna,Married,6.0,162.0,45420.0,Business,Yes,Yes,Petrol,Sedan
CusID_00127,34.0,Female,Florence,,3.0,159.0,106400.0,Service,Yes,No,Hybrid,Station Wagon
CusID_00128,24.0,Not_Specified,Kolkata,Married,2.0,147.0,182600.0,Service,Yes,No,Petrol,Sports Sedan
CusID_00129,20.0,Female,Vancouver,Single,1.0,138.0,5600.0,Service,Yes,Yes,Diesel,Compact Utility Vehicle
CusID_00130,36.0,Female,Florence,Married,5.0,152.0,32640.0,Business,Yes,Yes,Petrol,Sedan
CusID_00131,20.0,Male,San Francisco,Single,1.0,160.0,8000.0,Service,Yes,Yes,Hybrid,Hatchback
CusID_00132,17.0,Not_Specified,Vancouver,Single,1.0,138.0,7700.0,Service,Yes,Yes,Hybrid,Compact Sedan
CusID_00133,29.0,Male,Toronto,Divorced,2.0,142.0,81700.0,Service,Yes,No,Diesel,Sedan
CusID_00134,30.0,Male,Budapest,Married,4.0,155.0,133670.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00135,27.0,Male,Toronto,Married,2.0,140.0,17300.0,Service,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00136,26.0,Male,Perth,Divorced,4.0,163.0,123320.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00137,23.0,Male,Chennai,Married,5.0,154.0,130640.0,Business,No,No,Diesel,Minivan
CusID_00138,29.0,Female,Barcelona,Married,4.0,162.0,154100.0,Service,Yes,No,Diesel,Luxury Sedan
CusID_00139,23.0,Male,Chennai,Married,3.0,180.0,189100.0,Service,Yes,No,Petrol,Sports Sedan
CusID_00140,20.0,Female,Budapest,Single,1.0,139.0,3400.0,Service,Yes,Yes,Diesel,Compact Utility Vehicle
CusID_00141,48.0,Male,Munich,Single,1.0,146.0,110300.0,Business,Yes,No,Diesel,Sportscar
CusID_00142,16.0,Not_Specified,Mumbai,Single,1.0,156.0,4100.0,Student,Yes,Yes,Petrol,Hatchback
CusID_00143,59.0,Male,Los Angeles,Divorced,3.0,155.0,158130.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00144,32.0,Female,Florence,Married,6.0,159.0,78370.0,Business,Yes,Yes,Petrol,Sedan
CusID_00145,25.0,Male,Kuala Lampur,Single,1.0,146.0,107400.0,Service,Yes,No,Petrol,Luxury Coupe
CusID_00146,34.0,Male,Berlin,Married,2.0,172.0,95800.0,Service,Yes,No,Diesel,Sedan
CusID_00147,27.0,Female,Kolkata,Married,5.0,159.0,72000.0,Service,Yes,No,Petrol,Station Wagon
CusID_00148,27.0,Female,Taipei,Divorced,4.0,141.0,133500.0,Service,Yes,No,Petrol,Station Wagon
CusID_00149,32.0,Female,Delhi,Divorced,4.0,135.0,412400.0,Undisclosed,Yes,No,EV,Luxury Sedan
CusID_00150,29.0,Male,Perth,Married,5.0,142.0,63900.0,Business,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00151,38.0,Male,Perth,Single,1.0,174.0,138920.0,Business,Yes,No,Diesel,Sportscar
CusID_00152,28.0,Male,Shinjuku,Married,4.0,166.0,145690.0,Business,Yes,No,Petrol,Sports Coupe
CusID_00153,26.0,Female,Mumbai,Single,1.0,155.0,12100.0,Student,Yes,Yes,Hybrid,Sedan
CusID_00154,26.0,Female,Paris,Married,3.0,144.0,124400.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00155,57.0,Female,Vancouver,Divorced,3.0,135.0,118940.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00156,27.0,Male,Vancouver,Divorced,2.0,143.0,36000.0,Service,Yes,Yes,Hybrid,Sedan
CusID_00157,39.0,Female,Florence,Divorced,2.0,156.0,93950.0,Business,Yes,No,Petrol,Coupe
CusID_00158,36.0,Female,Paris,Married,4.0,144.0,126700.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00159,27.0,Male,Delhi,Married,4.0,173.0,32260.0,Business,Yes,Yes,Diesel,Utility Vehicle
CusID_00160,20.0,Female,Shinjuku,Single,1.0,154.0,6600.0,Student,Yes,,EV,Compact Sedan
CusID_00161,17.0,Female,Shinjuku,Single,1.0,141.0,4200.0,Student,Yes,Yes,,Compact Sedan
CusID_00162,30.0,Male,,Divorced,2.0,166.0,92860.0,Business,Yes,No,Petrol,Sedan
CusID_00163,32.0,Male,Barcelona,Married,6.0,147.0,161820.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00164,25.0,Female,Toronto,Married,6.0,152.0,186800.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00165,59.0,Female,Los Angeles,Married,4.0,,89200.0,Service,Yes,No,Diesel,Utility vehicle
CusID_00166,23.0,Male,Mumbai,Divorced,3.0,160.0,69250.0,Business,Yes,Yes,Diesel,Crossover
CusID_00167,25.0,Male,Kolkata,Divorced,4.0,148.0,6700.0,Service,Yes,Yes,Petrol,Compact Sedan
CusID_00168,43.0,Male,Shinjuku,Married,2.0,163.0,128300.0,Business,Yes,No,Diesel,Sports Sedan
CusID_00169,23.0,Female,Barcelona,Divorced,2.0,147.0,79400.0,Service,Yes,No,Hybrid,Utility Vehicle
CusID_00170,21.0,Male,Toronto,Single,1.0,158.0,12900.0,Student,Yes,Yes,Hybrid,Coupe
CusID_00171,27.0,Not_Specified,Paris,Single,1.0,141.0,85400.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00172,31.0,Female,Toronto,Married,5.0,147.0,90430.0,Business,Yes,No,Diesel,Sedan
CusID_00173,31.0,Female,Barcelona,Married,2.0,144.0,114580.0,Business,Yes,No,Petrol,Luxury Sedan
CusID_00174,22.0,Not_Specified,Florence,Married,3.0,158.0,16800.0,Service,Yes,Yes,Hybrid,Sedan
CusID_00175,30.0,Female,Mumbai,Married,4.0,,87700.0,Service,Yes,No,,Utility vehicle
CusID_00176,27.0,Male,Vancouver,Single,1.0,170.0,148200.0,Service,Yes,No,Petrol,Luxury Coupe
CusID_00177,38.0,Male,Munich,Married,5.0,147.0,104920.0,Business,Yes,No,Petrol,Compact Utility Vehicle
CusID_00178,35.0,Male,Toronto,Married,4.0,175.0,90100.0,Service,Yes,No,Petrol,Sedan
CusID_00179,23.0,Male,Vienna,Married,3.0,147.0,124430.0,Business,Yes,No,Petrol,Sports Coupe
CusID_00180,58.0,Male,Los Angeles,Married,4.0,167.0,56290.0,Business,Yes,Yes,Petrol,Sports Sedan
CusID_00181,33.0,Male,Berlin,Single,1.0,177.0,130180.0,Business,Yes,No,Petrol,Sportscar
CusID_00182,36.0,Male,Taipei,Married,2.0,153.0,116500.0,Service,Yes,No,Hybrid,Crossover
CusID_00183,24.0,Female,Kuala Lampur,Married,3.0,162.0,61200.0,Business,Yes,Yes,Diesel,Compact Utility Vehicle
CusID_00184,25.0,Male,Chennai,Divorced,2.0,167.0,55100.0,Business,Yes,Yes,Diesel,Crossover
CusID_00185,34.0,Not_Specified,Vienna,Divorced,4.0,160.0,51210.0,Business,Yes,Yes,Petrol,Sedan
CusID_00186,21.0,Male,Delhi,Married,6.0,142.0,10500.0,Service,Yes,Yes,Petrol,Crossover
CusID_00187,26.0,Male,Mumbai,Married,5.0,149.0,,Business,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00188,45.0,Female,Barcelona,Married,2.0,160.0,185200.0,Service,Yes,No,Petrol,Luxury Sedan
CusID_00189,26.0,Male,New York City,Divorced,2.0,178.0,,Business,Yes,Yes,Diesel,Crossover
CusID_00190,34.0,Male,Perth,Divorced,4.0,173.0,91700.0,Service,Yes,No,Hybrid,Utility vehicle
CusID_00191,31.0,Male,Barcelona,Married,5.0,144.0,52320.0,Business,No,Yes,Diesel,Minivan
CusID_00192,19.0,Not_Specified,Florence,Single,1.0,138.0,2600.0,Service,Yes,Yes,Diesel,Hatchback
CusID_00193,38.0,Male,Barcelona,Single,1.0,153.0,47580.0,Business,Yes,Yes,Petrol,Pickup-Truck
CusID_00194,22.0,Male,New York City,Single,1.0,132.0,61700.0,Service,No,No,Hybrid,Pickup-Truck
CusID_00195,22.0,Female,Kolkata,Divorced,4.0,,18000.0,Service,Yes,Yes,Diesel,Compact Utility Vehicle
CusID_00196,21.0,Female,Munich,Married,2.0,151.0,178500.0,Service,Yes,No,Diesel,Luxury Sedan
CusID_00197,28.0,Male,Sydney,Single,1.0,155.0,10900.0,Service,Yes,Yes,Petrol,Sedan
CusID_00198,34.0,Female,Shinjuku,Divorced,3.0,141.0,33840.0,Business,No,Yes,Petrol,Compact Utility Vehicle
CusID_00199,23.0,Not_Specified,Budapest,Single,1.0,150.0,12600.0,Student,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00200,27.0,Not_Specified,Kuala Lampur,Single,1.0,138.0,88600.0,Service,Yes,No,Petrol,Luxury Sedan
CusID_00201,17.0,Female,London,Single,1.0,144.0,4900.0,Service,Yes,Yes,Petrol,Compact Utility Vehicle
CusID_00202,15.0,Female,Mumbai,Single,1.0,155.0,8400.0,Student,Yes,Yes,Hybrid,Compact Sedan
CusID_00203,30.0,Not_Specified,Kuala Lampur,Single,1.0,137.0,42260.0,Business,Yes,Yes,Diesel,Compact Utility Vehicle
CusID_00204,26.0,Not_Specified,Perth,Single,1.0,160.0,99200.0,Service,Yes,No,Diesel,Luxury Sedan
CusID_00205,24.0,Female,Shinjuku,Divorced,4.0,147.0,115620.0,Business,Yes,No,Petrol,Sports Utility Vehicle
CusID_00206,24.0,Male,Vancouver,Married,6.0,158.0,79300.0,Service,Yes,No,Hybrid,Crossover
CusID_00207,32.0,Female,Kuala Lampur,Married,5.0,163.0,32580.0,Business,Yes,Yes,Diesel,Sedan
CusID_00208,21.0,Female,Budapest,Married,6.0,135.0,58130.0,Business,No,Yes,Diesel,Compact Utility Vehicle
CusID_00209,37.0,Female,Vancouver,Married,4.0,139.0,48170.0,Business,Yes,Yes,Diesel,Sedan
CusID_00210,29.0,Male,Florence,Married,2.0,172.0,87040.0,Business,Yes,Yes,Petrol,Sports Sedan
CusID_00211,24.0,Male,Perth,Married,3.0,151.0,95400.0,Service,Yes,No,Hybrid,Crossover
CusID_00212,22.0,Female,New York City,Single,1.0,141.0,34200.0,Service,Yes,Yes,Diesel,Sedan
CusID_00213,42.0,Male,Munich,Divorced,3.0,171.0,36190.0,Business,Yes,Yes,Diesel,Crossover
CusID_00214,34.0,Not_Specified,Los Angeles,Married,3.0,141.0,78320.0,Business,Yes,Yes,Petrol,Utility Vehicle
CusID_00215,25.0,Male,Paris,Married,2.0,159.0,159630.0,Business,No,No,Petrol,Pickup-Truck
CusID_00216,20.0,Female,New York City,Single,1.0,153.0,4000.0,Student,Yes,,EV,Compact Sedan
CusID_00217,16.0,Female,Mumbai,Single,1.0,148.0,5900.0,Service,Yes,Yes,Hybrid,Compact Utility Vehicle
CusID_00218,22.0,Female,San Francisco,Married,3.0,141.0,27600.0,,Yes,Yes,Petrol,Crossover
CusID_00219,22.0,Male,,Single,1.0,143.0,11800.0,Student,Yes,Yes,Hybrid,Coupe
CusID_00220,40.0,Male,Paris,Married,5.0,158.0,113300.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00221,35.0,Male,Vienna,Single,1.0,168.0,140240.0,Business,Yes,No,Diesel,Sportscar
CusID_00222,20.0,Female,Budapest,Single,1.0,151.0,4700.0,Service,Yes,Yes,Hybrid,Compact Utility Vehicle
CusID_00223,34.0,Female,Vancouver,Married,4.0,137.0,129500.0,Service,Yes,No,Petrol,Sports Utility Vehicle
CusID_00224,21.0,Not_Specified,Mumbai,Single,1.0,153.0,75100.0,Service,Yes,No,Hybrid,Luxury Sedan
CusID_00225,38.0,Male,Kuala Lampur,Married,3.0,156.0,45010.0,Business,Yes,Yes,Diesel,Utility Vehicle
CusID_00226,39.0,Male,Chennai,Married,2.0,145.0,24800.0,Service,Yes,Yes,Hybrid,Compact Utility Vehicle
CusID_00227,34.0,Female,,Married,6.0,155.0,154400.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00228,16.0,Not_Specified,Berlin,Single,1.0,153.0,8100.0,Service,Yes,Yes,Petrol,Compact Sedan
CusID_00229,20.0,Male,New York City,,1.0,168.0,8300.0,Student,Yes,Yes,Hybrid,Compact Utility Vehicle
CusID_00230,42.0,Female,Perth,Married,5.0,156.0,109400.0,Service,Yes,No,Diesel,Sports Utility Vehicle
CusID_00231,19.0,Not_Specified,London,Single,1.0,148.0,6300.0,Student,Yes,Yes,EV,Hatchback
CusID_00232,51.0,Male,Berlin,Divorced,3.0,161.0,100050.0,Business,Yes,No,Diesel,Sports Utility Vehicle
CusID_00233,31.0,Male,Taipei,Single,1.0,177.0,121600.0,,Yes,No,Hybrid,Luxury Coupe
CusID_00234,,Male,Perth,Single,1.0,140.0,14000.0,Student,Yes,Yes,Petrol,Coupe
